Date,Open,High,Low,Close,Adj Close,Volume
12/30/2005,71.03,71.03,69.53,69.75,69.75,15230.3
1/2/2006,68.68,69.75,68.25,69.11,69.11,8040.6
1/3/2006,69.32,71.67,69.32,71.24,71.24,14027.8
1/4/2006,72.09,73.59,70.39,71.67,71.67,21447.2
1/5/2006,71.67,73.8,71.67,72.09,72.09,21897.3
1/6/2006,72.95,74.65,71.88,71.88,71.88,17480.8
1/9/2006,72.73,72.73,70.39,71.24,71.24,9034.6
1/10/2006,70.6,70.81,68.89,70.39,70.39,8720.5
1/11/2006,70.39,70.81,68.47,69.32,69.32,9444.8
1/12/2006,69.96,72.09,69.96,70.81,70.81,16608.7
1/13/2006,71.67,71.67,70.17,70.39,70.39,6102
1/16/2006,70.6,72.52,69.75,72.09,72.09,10574.7
1/17/2006,72.73,73.37,71.67,71.67,71.67,10295.8
1/18/2006,70.81,71.24,67.83,69.32,69.32,13957.4
1/19/2006,69.75,69.96,66.76,68.25,68.25,9027.6
1/20/2006,69.11,69.53,67.4,67.4,67.4,4718.9
1/23/2006,63.13,66.12,63.13,66.12,66.12,8706.4
1/24/2006,66.55,69.32,66.55,69.11,69.11,6226.2
1/25/2006,69.96,69.96,67.61,68.25,68.25,5555.8
1/26/2006,NA,NA,NA,68.25,68.25,NA
1/27/2006,NA,NA,NA,68.25,68.25,NA
1/30/2006,NA,NA,NA,68.25,68.25,NA
1/31/2006,NA,NA,NA,68.25,68.25,NA
2/1/2006,NA,NA,NA,68.25,68.25,NA
2/2/2006,NA,NA,NA,68.25,68.25,NA
2/3/2006,68.68,69.75,66.55,67.19,67.19,6266.1
2/6/2006,66.97,66.97,65.27,66.76,66.76,7220.2
2/7/2006,66.76,67.83,65.91,67.83,67.83,7173.3
2/8/2006,68.04,68.04,66.33,66.55,66.55,3434.3
2/9/2006,66.97,67.4,65.69,66.55,66.55,5471.4
2/10/2006,65.91,66.12,63.99,64.41,64.41,7119.4
2/13/2006,63.99,64.84,63.56,64.84,64.84,5044.7
2/14/2006,64.84,66.97,64.41,66.97,66.97,6446.6
2/15/2006,67.4,67.61,66.76,66.97,66.97,7396
2/16/2006,67.61,68.89,67.61,68.47,68.47,11207.7
2/17/2006,68.89,69.11,67.4,68.25,68.25,4400.1
2/20/2006,67.4,68.04,66.76,67.83,67.83,3138.9
2/21/2006,68.25,69.75,68.25,68.25,68.25,14398.1
2/22/2006,68.68,68.68,66.55,66.55,66.55,7806.2
