Date,Open,High,Low,Close,Adj Close,Volume
12/31/2004,26.56,26.95,26.37,26.76,26.76,5280.2
1/3/2005,26.95,26.95,26.18,26.18,26.18,2656
1/4/2005,25.98,26.37,25.01,25.59,25.59,4937.8
1/5/2005,25.21,25.59,25.21,25.21,25.21,2534.9
1/6/2005,25.79,25.79,25.4,25.59,25.59,1593.7
1/7/2005,25.79,25.79,25.01,25.01,25.01,1513.1
1/10/2005,24.82,25.59,24.82,25.59,25.59,2919
1/11/2005,25.98,26.76,25.98,26.76,26.76,8713
1/12/2005,26.56,26.76,26.18,26.18,26.18,2718.9
1/13/2005,26.37,26.76,25.98,26.37,26.37,5197.1
1/14/2005,26.18,26.37,25.98,26.18,26.18,1688.3
1/17/2005,26.18,26.37,25.59,25.98,25.98,5731.8
1/18/2005,25.79,25.98,25.59,25.59,25.59,1405.2
1/19/2005,25.79,26.18,25.4,25.59,25.59,11408.8
1/20/2005,25.21,25.79,25.21,25.4,25.4,5904.4
1/21/2005,25.21,25.59,24.82,25.01,25.01,6153
1/24/2005,24.82,25.4,24.63,25.01,25.01,5557.6
1/25/2005,25.01,25.4,24.82,24.82,24.82,7613.8
1/26/2005,25.21,25.4,25.01,25.21,25.21,2896.2
1/27/2005,25.4,25.98,25.21,25.4,25.4,8735.3
1/28/2005,25.59,27.15,25.4,26.95,26.95,19645.6
1/31/2005,27.15,27.15,26.37,26.76,26.76,13749.1
2/1/2005,26.76,26.95,26.37,26.37,26.37,6182.7
2/2/2005,26.56,28.12,26.56,28.12,28.12,24554.7
2/3/2005,28.31,30.05,28.31,30.05,30.05,30845.8
2/4/2005,NA,NA,NA,30.05,30.05,NA
2/7/2005,NA,NA,NA,30.05,30.05,NA
2/8/2005,NA,NA,NA,30.05,30.05,NA
2/9/2005,NA,NA,NA,30.05,30.05,NA
2/10/2005,NA,NA,NA,30.05,30.05,NA
2/11/2005,NA,NA,NA,30.05,30.05,NA
2/14/2005,31.02,31.41,30.25,30.64,30.64,15938.5
2/15/2005,30.64,32.77,30.25,32.58,32.58,24399.3
2/16/2005,32.58,33.16,31.99,32.77,32.77,16785.5
2/17/2005,32.58,32.58,31.99,32.38,32.38,11698.4
2/18/2005,31.99,32.96,31.99,32.19,32.19,19195.6
2/21/2005,32.19,32.77,31.8,32.19,32.19,19078.4
2/22/2005,31.8,32.38,31.41,31.8,31.8,5294.4
2/23/2005,31.41,33.16,31.41,32.19,32.19,27707.4
2/24/2005,32.38,33.54,31.99,32.19,32.19,26637
2/25/2005,32.58,32.96,31.99,31.99,31.99,10707.5
2/28/2005,NA,NA,NA,31.99,31.99,NA
3/1/2005,31.99,32.19,31.41,31.53,31.53,6279
3/2/2005,31.53,31.95,31.41,31.41,31.41,6940.5
3/3/2005,31.41,32.23,31.06,32.19,32.19,8148.2
3/4/2005,32.19,32.89,31.99,32.3,32.3,14019.5
3/7/2005,32.58,33.54,32.58,32.77,32.77,20665.4
3/8/2005,32.96,33.08,32.38,32.92,32.92,13987.1
3/9/2005,32.96,34.86,32.96,34.01,34.01,21547.1
3/10/2005,34.32,36.07,34.32,34.94,34.94,16253.5
3/11/2005,35.29,35.72,34.51,34.94,34.94,9273
3/14/2005,34.71,35.64,34.51,34.9,34.9,11036.2
3/15/2005,34.75,34.94,32.96,33,33,17324
3/16/2005,33,33.66,32.65,32.96,32.96,9746
3/17/2005,32.58,33.35,32.38,32.85,32.85,7087.1
3/18/2005,33.2,33.51,32.85,33.27,33.27,8229.4
3/21/2005,33.39,34.36,33.16,33.86,33.86,13773.6
